ZIP_CODE,CITY_STATE_NAME,STATE_ABBREV,CTYST_MAILING_NAME_IND,STATE_ABBREV,PREFD_LAST_LINE_CTYST_NAM,COUNTY_NO,COUNTY_NAME,FINANCE_NO
10020,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10020,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10020,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10020,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10020,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10021,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10021,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10021,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10021,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10021,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10021,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10022,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10022,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10022,FRANKLIN D ROOSEVELT        ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10022,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10022,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10022,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10022,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10023,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10023,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10023,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10023,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10023,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10023,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10024,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10024,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10024,PLANETARIUM                 ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10024,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10024,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10024,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10024,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10025,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10025,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10025,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10025,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10025,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10025,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10026,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10026,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10026,MORNINGSIDE                 ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10026,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10026,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10026,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10027,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10027,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10027,MANHATTANVILLE              ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10027,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10027,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10027,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10027,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10028,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10028,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10028,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10028,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10028,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10028,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10029,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10029,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10029,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10029,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10029,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10029,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10030,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10030,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10030,COLLEGE                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10030,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10030,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10030,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10030,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10031,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10031,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10031,HAMILTON GRANGE             ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10031,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10031,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10031,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10031,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10032,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10032,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10032,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10032,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10032,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10032,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10033,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10033,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10033,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10033,WASHINGTON BRIDGE           ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10033,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10033,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10033,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10034,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10034,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10034,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10034,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10034,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10034,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10035,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10035,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10035,WARDS ISLAND                ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10035,RANDALLS ISLAND             ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10035,WARDS IS                    ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10035,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10035,TRIBOROUGH                  ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10035,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10035,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10035,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10036,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10036,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10036,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10036,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10036,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10036,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10037,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10037,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10037,LINCOLNTON                  ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10037,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10037,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10037,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10037,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10038,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10038,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10038,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10038,PECK SLIP                   ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10038,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10038,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10038,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10039,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10039,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10039,COLONIAL PARK               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10039,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10039,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10039,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10039,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10040,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10040,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10040,FORT GEORGE                 ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10040,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10040,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10040,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10040,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10041,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10041,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10041,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10041,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10041,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10041,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10043,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10043,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10043,CITIBANK                    ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10043,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10043,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10043,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10044,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10044,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10044,ROOSEVELT ISLAND            ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10044,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10044,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10044,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10044,ROOSEVELT ISL               ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10045,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10045,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10045,FEDERAL RESERVE             ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
